"Text","Positive","Negative","Score","Summary","PosPercent","NegPercent"
"orang said allah jodoh terbaik sellu berdoa emm ya iya bambang kalo doa diikhtiarin pdkt model ta'aruf ya ngegas nya'arufin atuh bohong namane",9,8,1,"Positive",0.529411764705882,0.470588235294118
"gus kenalan wanita nan cantik jelita melanjutkan tahap ta'aruf pripun nggih baiknya gus",4,5,-1,"Negative",0.444444444444444,0.555555555555556
"carilah istri taaruf pacaran",2,2,0,"Positive",0.5,0.5
"taaruf yuk hyunk ",1,0,1,"Positive",1,0
"taaruf yuk ",1,0,1,"Positive",1,0
"eaaaa rabi jare ta'aruf eh hasil ta'aruf e nikung iku golek bojo ta golek podium wallahu 'lam ampun gusti",4,6,-2,"Negative",0.4,0.6
"updatean makanan menarik ketimbang uwu uwuan taaruf nikah muda",4,4,0,"Positive",0.5,0.5
"rizki 'academy mengaku belajar taaruf youtube kenal nadya sang istri",3,2,1,"Positive",0.6,0.4
" capek kenalan cwomaunya langsung ta'aruf ",3,3,0,"Positive",0.5,0.5
" nih kenalan langsung taaruf masak mie ",3,2,1,"Positive",0.6,0.4
"kayanya taaruf trend ya lamalama konten nih",2,1,1,"Positive",0.666666666666667,0.333333333333333
"hahahahaha taaruf session anjink",0,0,0,"Positive",0,0
"ta'aruf canda",0,2,-2,"Negative",0,1
" sih jaman laki sholeh kayak seleb disana mengajak taaruf",1,1,0,"Positive",0.5,0.5
"bismillah sepatu anti slip praktis bahan kulit sentisis balero bahan terbaik nyaman dipakai seharian tapak bahan karet model empuk pijakannya insyaa allah area surabaya diantar ta'aruf",8,9,-1,"Negative",0.470588235294118,0.529411764705882
"taaruf jungwon gapapa",0,0,0,"Positive",0,0
"perbedaan taaruf pacaran",1,2,-1,"Negative",0.333333333333333,0.666666666666667
" tau taaruf yekan",0,1,-1,"Negative",0,1
"alhamdulillah kabar kemarin taaruf",2,1,1,"Positive",0.666666666666667,0.333333333333333
"tbh suka tengok film cinta bertasbih berulang kali kagum proses taaruf parents intermediaries sepatutnya anak muda amalkanikhtilat terjaga parents kenal manis indah",12,12,0,"Positive",0.5,0.5
"taaruf vicall wkwk",0,0,0,"Positive",0,0
" taaruf khitbah paham agama jatohnya kayak pacaran itumah basi banget mengatasnamakan taaruf sembunyi dibalik khitbah pacaran wkwkwk ya setau mah namanya taaruf tuh ketemuan jalan khitbah basi oyy",9,11,-2,"Negative",0.45,0.55
"pengin nikah muda proses belajar ",4,3,1,"Positive",0.571428571428571,0.428571428571429
"taaruf matok matok",0,0,0,"Positive",0,0
"kalo taaruf nya kayak rey mbayang gue haha",0,1,-1,"Negative",0,1
"ngaak ta'aruf ya",1,1,0,"Positive",0.5,0.5
"sabar atuh taaruf ",1,1,0,"Positive",0.5,0.5
"lotek makanan islami mencampurkan sayuran muhrimnya ikatan pernikahan ta'aruf dipaksa bersatu padu bumbu kacang leukoh restu keluarganya astagfirullah",8,10,-2,"Negative",0.444444444444444,0.555555555555556
"taaruf yuk",1,0,1,"Positive",1,0
"kaum ta'aruf tertawa ",0,1,-1,"Negative",0,1
"today sister ta'arufed got engaged orang married right ta'aruf kesan hidup anak jutawan humble miskin keluarga sekufu reject",4,8,-4,"Negative",0.333333333333333,0.666666666666667
" 'sih' pengertian taaruf penjelasan ustadz",3,2,1,"Positive",0.6,0.4
"taaruf dinda hauw rey mbayang dinilai islami udjae menjaga",2,1,1,"Positive",0.666666666666667,0.333333333333333
"jalani taaruf artis muda pilih menikah berpacaran",5,5,0,"Positive",0.5,0.5
"rey mbayang larangan 'chatting' 'taaruf'",0,1,-1,"Negative",0,1
" 'taaruf' rizki pinang istri sebulan",1,1,0,"Positive",0.5,0.5
"proses taaruf dinda hauw dikritik rey mbayang",1,1,0,"Positive",0.5,0.5
"rey mbayang kritikan 'chatting' dinda hauw taaruf",0,1,-1,"Negative",0,1
" benerbener ta'aruf cit ketemu jalan bareng jomblo",4,4,0,"Positive",0.5,0.5
" kenal makaaa ta aruf",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"klepon ta'aruf",0,1,-1,"Negative",0,1
"harapanku kenalan ta'aruf nikah kayak haji anak cucu mati masuk surga semoga diijabah allah",8,9,-1,"Negative",0.470588235294118,0.529411764705882
"tolong ya membedakan ta aruf fwb",2,2,0,"Positive",0.5,0.5
" sobat taaruf",1,1,0,"Positive",0.5,0.5
"ta'aruf tuh kayak ",0,2,-2,"Negative",0,1
"mohon maaf artis artis taaruf sah alay banget ya",6,3,3,"Positive",0.666666666666667,0.333333333333333
"taaruf atuh iya langsung lamar",1,1,0,"Positive",0.5,0.5
"aing suka aing suka yuk ta aruf",3,3,0,"Positive",0.5,0.5
" taaruf memutuskan ana ana hafalan quran ana ana hafizhah salah akhwat hafalan juz ditolak cantik nadzor",7,9,-2,"Negative",0.4375,0.5625
" ana taaruf ana ketahui abu nadzor taaruf akhwat ana sarankan mengikuti taaruf media sosial tolong diambil pelajarannya ",9,9,0,"Positive",0.5,0.5
"wkwwkwkwkkw barutau anak reguler takut diajak taaruf",3,2,1,"Positive",0.6,0.4
"aduh diajak taaruf",2,1,1,"Positive",0.666666666666667,0.333333333333333
"mata khas ta'aruf santri yayasan khas kempek cirebon ",3,2,1,"Positive",0.6,0.4
" ta'aruf satusatu musibah problems research geran dimohon kena tukar tajuk funding setahun usaha buang problem family menjadijadi ayah suicidal kakak depression",3,8,-5,"Negative",0.272727272727273,0.727272727272727
"dahla capek taaruf ",1,1,0,"Positive",0.5,0.5
"belajar proses taaruf tranding",2,1,1,"Positive",0.666666666666667,0.333333333333333
" benihbenih cinta rizky garis tangan wajah nadya wajah good looking kunci kalo good looking sesuai selera diajak taaruf sih",7,2,5,"Positive",0.777777777777778,0.222222222222222
" orang paham ta'aruf menikah ta'aruf menyempurnakan ibadahnya zina maa syaa allah apada dipersatukan allah",7,6,1,"Positive",0.538461538461538,0.461538461538462
"ta'aruf ku menakutkan sesuai berlari manja mundur pernikahan sulit kukira semudah membeli sepasang sneakers mempostingnya caption '' mine''",6,7,-1,"Negative",0.461538461538462,0.538461538461538
"wkwkwkwkw taaruf ",0,0,0,"Positive",0,0
"ikutan kelas taaruf thor entar goalnya tukeran cv",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"nek isok dijak ta'aruf ya ta'sawang yas haha",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"ta'aruf tuh",0,1,-1,"Negative",0,1
"rizky 'academy blakblakan taaruf menikah garis tangan",2,2,0,"Positive",0.5,0.5
" nemu gue pacaran lu telepon cowok gue ya pesbuk ngakunya menyangka nkh taaruf ala ya munafik jodohnya munafik",5,4,1,"Positive",0.555555555555556,0.444444444444444
"pelajari taaruf sahabat youtube rizki 'academy alhamdulillah dipermudah",5,3,2,"Positive",0.625,0.375
"akui jarang komunikasi calon istri taaruf rizky 'academy aman selingkuh",2,3,-1,"Negative",0.4,0.6
"putus lesti kejora rizki resmi menikah jalani proses ta'aruf",6,4,2,"Positive",0.6,0.4
" istrinya terungkap rizky r kisah taaruf menikah",2,2,0,"Positive",0.5,0.5
"resmi menikahi nadya proses taaruf rizki 'academy ketiga langsung lamar",5,1,4,"Positive",0.833333333333333,0.166666666666667
"arep ta'aruf ",0,1,-1,"Negative",0,1
" chat mengajak taaruf ",2,0,2,"Positive",1,0
" musim ta'aruf chattingan mah wis lawas kunuh sakingan endah viral beh kayak sejene",1,3,-2,"Negative",0.25,0.75
"ta'aruf sesungguhnya sih ya kayaknya mengerti hakikat ta'aruf ' sih suka chatan jalan berduaan pegangan tangan bilangnya ta'aruf",6,10,-4,"Negative",0.375,0.625
"disetiap pekerjaan dekdan langsung taaruf mbak mbak berhenti pikiran angan angan mbak melangkah mbak mbak fokus ",6,4,2,"Positive",0.6,0.4
"memperbaiki taaruf memperbaiki bacaan sholat baca al quran nya rutin sedekah diperbanyak heran hijrah pikirannya nikah nikah mulu",12,10,2,"Positive",0.545454545454545,0.454545454545455
"nyoh ki nder dek golek seng pengin jak taaruf",0,1,-1,"Negative",0,1
"taaruf tambatan hati ",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"ta'aruf ",0,1,-1,"Negative",0,1
"iyo lapo kwe arep taaruf biasane perantarane manut daerah taaruf kutho bahasane indonesia taaruf deso bahasane kromo",0,1,-1,"Negative",0,1
"malam main kerumah tibatiba bilang ta'aruf yuk dek bilang ku",3,3,0,"Positive",0.5,0.5
"rizki 'academy menikah jumat menjalani taaruf perempuan diduga bernama nadya mustika rahayu",8,5,3,"Positive",0.615384615384615,0.384615384615385
"dinda hauw rey mbayang sorotan menikah menjalani taaruf",2,2,0,"Positive",0.5,0.5
"rizki 'academy mengenal nadya mustika rahayu sebulan langsung menikah",5,4,1,"Positive",0.555555555555556,0.444444444444444
"ridho menjalani proses taaruf rizki 'academy",3,1,2,"Positive",0.75,0.25
"taaruf nikah kayak rumah haji anak sholih solihah dipoligami dipoligami dipoligami hidup bahagia mati masuk sorga hahaha",6,7,-1,"Negative",0.461538461538462,0.538461538461538
"ta'aruf modern ya lub wkwk",2,1,1,"Positive",0.666666666666667,0.333333333333333
"taaruf era modern kak dm langsung perantara ketemua jalan pdkt bentar langsung nikah sih alurnya kak",5,4,1,"Positive",0.555555555555556,0.444444444444444
"taaruf era modern perantara dm langsung mengajak ketemuan",4,0,4,"Positive",1,0
"sure kagak kebalik bukti fakta objektif subjectif sih pengicau islam pacaran haram langsung taaruf klaim gaul sdgkan bergaul bknya mengauli dilarang pertanyaanya lantas dimana gaulnya ",5,9,-4,"Negative",0.357142857142857,0.642857142857143
" taaruf orang korea mengerti bahasa bahasa mianhae",2,4,-2,"Negative",0.333333333333333,0.666666666666667
" taaruf kali ah",0,1,-1,"Negative",0,1
"bikin biografi um ugm degdegan kayak bikin cv taaruf",0,1,-1,"Negative",0,1
"ta'aruf jaman kayak orang pacaran bentar buruburu nikah sih yakali ta'aruf pakai acara jalan berdua wes o nek pacaran ya mengomong pacaran rausah mengomong ta'aruf ",10,15,-5,"Negative",0.4,0.6
"nikah ta'aruf nikah usia muda nikah jodohin apapun salah salah nikah memaksakan menikah faktor usia enak buru trend nikah muda nikah ibadah ajang lomba",12,20,-8,"Negative",0.375,0.625
"lngsng ajak taaruf ",1,0,1,"Positive",1,0
"hai arka ayok taaruf ",1,0,1,"Positive",1,0
"pengin ta'aruf ",0,1,-1,"Negative",0,1
"alhamdulillah desember",1,0,1,"Positive",1,0
"muhrim ya coba tashrif tau bedanya muhrim mahrom kalo tau sok alim bahas ta'aruf hehe",4,5,-1,"Negative",0.444444444444444,0.555555555555556
"kenalan ta'aruf dilamar kalo cocok dikhitbah gus",2,3,-1,"Negative",0.4,0.6
"stop romantisasi taaruf please",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"gua lihat isi beritanya namanya nazhor lihat garis tangan ala ramalan yaallah penulisnya minim ilmu kaum sumbu pendek jadikan bahan taaruf percaya garis tangan",11,12,-1,"Negative",0.478260869565217,0.521739130434783
"form taaruf tutup magrib kemarin",1,1,0,"Positive",0.5,0.5
" tb nikah gr taaruf aplot setori pakai kebaya gandeng swamiqu mesti teman temanku kaget wkwkwk musim",3,3,0,"Positive",0.5,0.5
"ngajakin taaruf",0,0,0,"Positive",0,0
" ta aruf benaran banget niatnya ibadah ketiga ",3,2,1,"Positive",0.6,0.4
"ta aruf semudah fisik kenal sifatnya ",2,3,-1,"Negative",0.4,0.6
"taaruf opo iki ndelok garis tangan",1,1,0,"Positive",0.5,0.5
"salah kenal ta'aruf semalem ngorok sayang ",2,4,-2,"Negative",0.333333333333333,0.666666666666667
"knapa coba ta'aruf ",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"aw taaruf",0,0,0,"Positive",0,0
"ayamnya taaruf ",0,1,-1,"Negative",0,1
" diganti taaruf cina muallaf",1,1,0,"Positive",0.5,0.5
"masak ta'aruf nyosor dipelaminan",2,3,-1,"Negative",0.4,0.6
" tuh zamannya deketnya taaruf nya ",0,0,0,"Positive",0,0
"taaruf bang",0,0,0,"Positive",0,0
"pagi gue takut mak gue mantengin mama dedeh topiknya taaruf gue takut taarufin anjir takut bodo t kak t",6,6,0,"Positive",0.5,0.5
" ta'aruf arab ente permasalahkan kenalan diindonesiakan ngopi sek",2,3,-1,"Negative",0.4,0.6
"tahi hubungannya ta'aruf garis tangan goblok ta aruf modal kepincut muka kayak lo mah namanya sange hijrah",5,10,-5,"Negative",0.333333333333333,0.666666666666667
"kenalan jenis kenalan resmi kenalan non resmi maksud ta'aruf kenalan keluarga wanita shg serius resmi kenalan kenalan teman kecerdasan memahami ",11,10,1,"Positive",0.523809523809524,0.476190476190476
"memaafi ketawa ukhti ya akhi ukhti memantaskan taaruf yuk akhi",4,2,2,"Positive",0.666666666666667,0.333333333333333
" tipe taaruf mendapati jodoh langsung nikah taaruf mendapati adsense tipe kalo habis nikah mulu acara tv bahas mulu",10,8,2,"Positive",0.555555555555556,0.444444444444444
"taaruf chatingan pakai perantara kali kalo hts mah mengaku taaruf berasa alim ya",3,2,1,"Positive",0.6,0.4
"ealah meh mbok ajak ta'aruf po piye nder wkwk",1,3,-2,"Negative",0.25,0.75
"ta'aruf samakah ikhtiar",2,3,-1,"Negative",0.4,0.6
"dinda hauw rey mbayang suarakan nikmatnya taaruf",2,1,1,"Positive",0.666666666666667,0.333333333333333
"ta'aruf paham agama ",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"cv taaruf ya",1,0,1,"Positive",1,0
"mngkn orang ta aruf pacaran islami",2,3,-1,"Negative",0.4,0.6
"bahasa arabnya kenalan ta aruf proses knalan ",2,3,-1,"Negative",0.4,0.6
" survey ta'aruf tuh proses manusia kenalan sih cowok keluarga main rumah cewek ta'aruf ",6,5,1,"Positive",0.545454545454545,0.454545454545455
" mencari pasangan ta'aruf barang kali minat",3,3,0,"Positive",0.5,0.5
"memangnya show ibadah sosmed tb langsung gus ngajakin taaruf heran heran heran mengapai sikk suka banget post foto tangan memegang alqur' post doang iya dibaca kagak hahahahah",12,10,2,"Positive",0.545454545454545,0.454545454545455
" taaruf wkwk",0,0,0,"Positive",0,0
"ajk taaruf ",0,0,0,"Positive",0,0
" pengin ta'aruf",0,1,-1,"Negative",0,1
"tasya taaruf mbek cah imago belll koncoku spill sisan ye",1,1,0,"Positive",0.5,0.5
"cerita taaruf nak jumpa kne adik takleh berdua je syarat suka taknak kali nak tunang nikah ok je syarat bro perempuan limited edition deh kau nak ",8,5,3,"Positive",0.615384615384615,0.384615384615385
" mencinta akad buku pembahasan bukunya cintajodoh pernikahan calon pasangan ta'aruf memohon pilihan terbaik akad walimah",6,6,0,"Positive",0.5,0.5
"asikehhh diajak taaruf ya kakak",2,0,2,"Positive",1,0
"belajar taaruf",1,1,0,"Positive",0.5,0.5
"uhuy selamat keverif barengan rahardianfams gavin gugus kompeni taraktakdung taraktakdung taraktakdung tarak pararunten akang teteh lupa jb greetingan nya kenal ta'aruf ayo taaruf",5,6,-1,"Negative",0.454545454545455,0.545454545454545
" sadar pasca viralnya pernikahan dinda haw ray mbayang banget nemu tweet tweet isinya pernikahan ta'aruf memantaskan orangorang orangorang galau nikah nikah dll",8,9,-1,"Negative",0.470588235294118,0.529411764705882
"ya tau taaruf tuh pakai perantara siiii",1,1,0,"Positive",0.5,0.5
"umur beda setahun beda jakarta bandung yuk taaruf yuk",3,4,-1,"Negative",0.428571428571429,0.571428571428571
" ya gara gara dindahaw tl orang taaruf sesuai islami apapun dtengin orang tuanya diskusi ankny perantarany direct langsung bersangkutan haha bangkai bawa bawa agama",8,11,-3,"Negative",0.421052631578947,0.578947368421053
"stad lu taaruf capek nih lihat anggapan orang dm dman doang dibilang taaruf '",4,3,1,"Positive",0.571428571428571,0.428571428571429
"taaruf mah beda komitmen",0,1,-1,"Negative",0,1
" related ya intinya pahami taaruf pakai perantara kayak tinder syariah mencari base",2,2,0,"Positive",0.5,0.5
" teman pas smt taaruf pas smt biar kelar kkn langsung nikah deh skripsi main alter sih anaknya gajadi taaruf kali",8,6,2,"Positive",0.571428571428571,0.428571428571429
"kd pacaran kd jua taaruf mengenal nikah yakali mbae langsung nikah kepilih kucing karung nyahoo loh",5,6,-1,"Negative",0.454545454545455,0.545454545454545
" taaruf ndik wkakakakakwkakawkakwkwkw",0,0,0,"Positive",0,0
"stop pacaran start taaruf yuk mluncur",3,2,1,"Positive",0.6,0.4
"iya mas kemarin jelek menjelekkan mantannya mengajak ta aruf kasihan bilang eh deh biarkan hehe",3,6,-3,"Negative",0.333333333333333,0.666666666666667
"khilaf mas gang taesi lepas rem sanggup menahan taaruf sungguh uwu",2,5,-3,"Negative",0.285714285714286,0.714285714285714
"pas lihat teman pamer kemesraan n pasangan pengin sih kalo pikir plng senengnya dikit pengin nikah pengin ta'aruf calonya yaudah tidur ",9,8,1,"Positive",0.529411764705882,0.470588235294118
" musim orang pacaran bertahun kalah ngajakin taaruf",2,3,-1,"Negative",0.4,0.6
" taaruf",0,0,0,"Positive",0,0
" segampang mengajak taaruf kaum adam",2,1,1,"Positive",0.666666666666667,0.333333333333333
" paham orang pengin ta aruf wkwk",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"ajg ngajaki ta'aruf laki",0,1,-1,"Negative",0,1
" wow cocok orang menerima kejametanku taaruf kali tau",3,4,-1,"Negative",0.428571428571429,0.571428571428571
"ayam nya ta'aruf ",0,2,-2,"Negative",0,1
" kak taaruf",0,0,0,"Positive",0,0
"semoga ta aruf jembatan menyakiti ",1,3,-2,"Negative",0.25,0.75
" disuruh taaruf sih ayam nanggung ",0,2,-2,"Negative",0,1
"nne akhi taaruf suho",0,0,0,"Positive",0,0
"takpe yie sesi taaruf",0,0,0,"Positive",0,0
"sabar tau besok diajak taaruf",2,1,1,"Positive",0.666666666666667,0.333333333333333
" ngajakin taaruf deh",0,0,0,"Positive",0,0
"terheran umiw pacaran bertahun umiw pacaran langsung taaruf wkkwkwkw",4,3,1,"Positive",0.571428571428571,0.428571428571429
" couple taunya taaruf bersamamu till jannah",2,2,0,"Positive",0.5,0.5
"mari bergabung taaruf sesi rebu ya",3,2,1,"Positive",0.6,0.4
"alhamdulillah salah suka nolak taaruf disosmed besok mah nazor kalo fix ya",3,2,1,"Positive",0.6,0.4
"sasa taaruf",0,0,0,"Positive",0,0
"kemarin taaruf selingkuh diimingimingi nikah muda trending perselingkuhan cepat banget turunnya konsumsi netizen",5,6,-1,"Negative",0.454545454545455,0.545454545454545
"yaallah taaruf biar kayak dinda rey",1,2,-1,"Negative",0.333333333333333,0.666666666666667
" umurnya memikirkan nikah hati loh mbamas ta'aruf loh dipikir kalo nikah sih nikah ibadah kalo nikah sesukaan doang deh kasihan cerai ditengah jalan hehehe",14,14,0,"Positive",0.5,0.5
"kayanya mengajak orang taaruf tau tau nikah ",4,5,-1,"Negative",0.444444444444444,0.555555555555556
" ta'aruf",0,1,-1,"Negative",0,1
"yuk taaruf",1,0,1,"Positive",1,0
"oh taaruf",0,0,0,"Positive",0,0
"giliran bocah cowok ganti mulu giliran eh awkw ya dewasa malas pacar pacaran kalo ditanyaa ya memilih semi taaruf deh pacaran ya pokoknya endingnya ",11,9,2,"Positive",0.55,0.45
"ogah pacaran pngenya ta'aruf",1,3,-2,"Negative",0.25,0.75
"duh pengin taaruf ",0,1,-1,"Negative",0,1
" ta'aruf bang",0,1,-1,"Negative",0,1
"heem iya taaruf iya",0,0,0,"Positive",0,0
"yuk taaruf ",1,0,1,"Positive",1,0
" ta'aruf ",0,1,-1,"Negative",0,1
" niatan pengin mengajak ta'aruf ",1,1,0,"Positive",0.5,0.5
"nih calon agencyku doakan ya sebentar sunting taaruf memantaskan ",3,3,0,"Positive",0.5,0.5
"taaruf jaremu prewed",0,0,0,"Positive",0,0
"cie klepon mengalahkan taaruf eak eak eak",0,1,-1,"Negative",0,1
"ah junghyun oppa ikutan taaruf",1,1,0,"Positive",0.5,0.5
" pdkt langsung taaruf",1,0,1,"Positive",1,0
" kalo chat langsung suami idamanmu cewek suka namanya modus ya ikhwan fillah taaruf ituemang pakai perantara menikah",7,5,2,"Positive",0.583333333333333,0.416666666666667
"adek taaruf kayak kerjanya wkwk kasihan orang termakan ajaran palsu keluarga rey langsung datengin keluarga dinda mengajak taaruf dm dinda diobrolin keluarga kesannya persiapan matang",12,10,2,"Positive",0.545454545454545,0.454545454545455
"dohyun bentar taaruf cowok jomblo act",1,2,-1,"Negative",0.333333333333333,0.666666666666667
" taaruf ",0,0,0,"Positive",0,0
"wkwkwk tos sek bro lanangan saiki kudu akeh mengalah sabar jodoh nandi nek wes ketemu ojok diculno los doll ta'aruf",4,2,2,"Positive",0.666666666666667,0.333333333333333
"taaruf ",0,0,0,"Positive",0,0
"taaruf tulaba bcinta lepas nikah welaahhhhhh",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"ship gila wani ndmau bcinta taaruf astaga",2,3,-1,"Negative",0.4,0.6
"sukses taaruf pacaran taaruf okeeh",2,1,1,"Positive",0.666666666666667,0.333333333333333
" orang taaruf kayak uwu banget mulus sekalinya ditaarufin akunya ditinggal nikah orang uwu ",7,7,0,"Positive",0.5,0.5
"gua maunya taaruf sye",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"skip gua taaruf",0,1,-1,"Negative",0,1
" taaruf kali ya",1,1,0,"Positive",0.5,0.5
"iya artis kenal sebulan nikah ya sih taaruf otak gue memakai sense loh terlepas agama ya",7,6,1,"Positive",0.538461538461538,0.461538461538462
"bercanda izin taaruf pas ayah eh anjir disuruh cepat nikah sekula lulus penghasilan eh cewenya maksudnya ",7,7,0,"Positive",0.5,0.5
"pengin ajak ta'aruf kayak dindahw kelakuan kayak cimoy montok",3,3,0,"Positive",0.5,0.5
"sok sok ajak ta'aruf galery isi nya vokep muyu",2,2,0,"Positive",0.5,0.5
"pengin taaruf kayak dindahw kelakuan kayak cimoy montok",2,2,0,"Positive",0.5,0.5
"apan nih orang tbtb taaruf",1,1,0,"Positive",0.5,0.5
" taaruf tuh wkwk",0,0,0,"Positive",0,0
" dikata taaruf",1,1,0,"Positive",0.5,0.5
"taaruf semuwa",0,0,0,"Positive",0,0
"gila gue garagara pacar kakak gue jelek doang langsung pakai pelet mampus deh gue muk taaruf",4,6,-2,"Negative",0.4,0.6
" klepon haram ya coba ajak taaruf tau entar halal",3,2,1,"Positive",0.6,0.4
" taaruf teh entar nikah",2,1,1,"Positive",0.666666666666667,0.333333333333333
" taaruf entar nikah",1,1,0,"Positive",0.5,0.5
"langsung ta'aruf ",1,1,0,"Positive",0.5,0.5
" bunda bolej pacaran taaruf ",2,2,0,"Positive",0.5,0.5
"sholat e sek bolong ta aruf ta aruf",1,3,-2,"Negative",0.25,0.75
"deh mengerti besok suruh pakai hijab kleponnya biar islami ta'aruf deh tuh klepon",2,4,-2,"Negative",0.333333333333333,0.666666666666667
" tau lihat artis muda nikah dasar taaruf ngrasa cringe ",4,3,1,"Positive",0.571428571428571,0.428571428571429
"lu taaruf ye kaget diajak nikah kalo yaudah ",4,3,1,"Positive",0.571428571428571,0.428571428571429
" pacar taaruf jalan ninja",2,2,0,"Positive",0.5,0.5
"trend taraktakdung prilly reza dikta run bts javanese stop rasisme hyoyeon almira",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"senang lihat orang taaruf btw wkwk",3,2,1,"Positive",0.6,0.4
"ta'aruf ",0,1,-1,"Negative",0,1
"memilih jalan islam",2,2,0,"Positive",0.5,0.5
"kalo pacaran taaruf ayo haha",2,1,1,"Positive",0.666666666666667,0.333333333333333
"taaruf langsung biar kayak dinda hauw",2,2,0,"Positive",0.5,0.5
"woi ykali jomblo seumur hidup tbtb taaruf ngeri",3,4,-1,"Negative",0.428571428571429,0.571428571428571
" pernikahan ta'aruf gagal perubahan perspektifpandangan orang taaruf percaya taaruf orang tua melarang anaknya menikah taaruf anaknya cont",7,12,-5,"Negative",0.368421052631579,0.631578947368421
" menikah ta'aruf semoga keluarga samawa taaruf orang menikah tujuan cerai memfokuskan ta'aruf ta'aruf mudah cont",8,11,-3,"Negative",0.421052631578947,0.578947368421053
"men pacaran jaman langsung taaruf biar langsung nikah",5,3,2,"Positive",0.625,0.375
"bentar mengajak taaruf",1,1,0,"Positive",0.5,0.5
"yuk ah ta'aruf",1,1,0,"Positive",0.5,0.5
"ta'aruf ta'aful tafahum ",0,2,-2,"Negative",0,1
"pengalihan isu diajak taaruf om ki yuk",3,1,2,"Positive",0.75,0.25
"jodoh kenal langsung ta'aruf bertautaun bareng ditinggalin tertulis lauhul mahfudz dijaga kayak kalo jodoh seribu alasan pisah ngejauh kayak kalo jodoh dipertemukan",8,10,-2,"Negative",0.444444444444444,0.555555555555556
"perjalanan hidupku mik kayaknya duluan mik katany pengin taaruf",3,4,-1,"Negative",0.428571428571429,0.571428571428571
"taaruf pacarannya pas deh nikah brou",3,2,1,"Positive",0.6,0.4
"curhat agama bareng pacar nya taaruf sesuai agama",5,5,0,"Positive",0.5,0.5
"gausata'aruf ",0,0,0,"Positive",0,0
"hai sayang mari taaruf",3,2,1,"Positive",0.6,0.4
" tidur menunggu balasan cv taaruf doi",3,4,-1,"Negative",0.428571428571429,0.571428571428571
"bae bae dm mengajak taaruf lho",1,0,1,"Positive",1,0
" kenal taaruf asixg piw l spaa disana",1,1,0,"Positive",0.5,0.5
"bismillah dita haluw menikah pangeran impian dikhitbah menjalani taaruf mohon doanya warga tuiitt tercinta",7,5,2,"Positive",0.583333333333333,0.416666666666667
"info taaruf minat dm",1,1,0,"Positive",0.5,0.5
" ngehitz mengajak taaruf ya",2,0,2,"Positive",1,0
"ura ojo mengasih hahaha lek e hasil ta'aruf kui bedo lo cok mbi sekedar pacaran lak koe ra paham",3,3,0,"Positive",0.5,0.5
"tengok story someone sesi taaruf ustzh kenz rindu ustzh",2,2,0,"Positive",0.5,0.5
"isu second wave covid politik dinasti taaruf rame",1,4,-3,"Negative",0.2,0.8
"hai taaruf ",1,0,1,"Positive",1,0
"ta'aruf berkenalan mengajak ta'aruf mengajak berkenalan tujuannya mencari jodoh mengiyakan ta'aruf mengiyakan ajakan menikah berpeluang menyepakati penghentian proses",11,10,1,"Positive",0.523809523809524,0.476190476190476
" taaruf ",0,0,0,"Positive",0,0
"suka heran kalo wed nemu lingkunganku hasil taaruf ganteng cantik",5,5,0,"Positive",0.5,0.5
"uwu ta'aruf ya alhamdulillah",2,1,1,"Positive",0.666666666666667,0.333333333333333
"ta'aruf ",0,1,-1,"Negative",0,1
" cerita teman pas ketemu terakir pas kali ya jarang kontekan eh tau kirim chat undangan nikah taaruf auto kaget insecure ketemu jodoh yawah",12,6,6,"Positive",0.666666666666667,0.333333333333333
"astagfirullah lngsng ta'aruf v",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"alah siah ta'aruf",0,2,-2,"Negative",0,1
"mak habis curhat tbtb mama pengennya ta'aruf ya dek monmaap ngapa kesitu",4,3,1,"Positive",0.571428571428571,0.428571428571429
"mending taaruf teh",2,1,1,"Positive",0.666666666666667,0.333333333333333
"taaruf yuk ",1,0,1,"Positive",1,0
"orang menikah taaruf mentalnya kuat tau kekurangan pasangan menerima menikahi menerima lebihnya semoga keluarga sakinah mawadah rahman",11,8,3,"Positive",0.578947368421053,0.421052631578947
"ta aruf ceritanya",1,2,-1,"Negative",0.333333333333333,0.666666666666667
"ta enal ta'aruf",0,2,-2,"Negative",0,1
" t indak r sih apk sejenisnya namanya taaruf",1,1,0,"Positive",0.5,0.5
"iya gua ikutan taaruf kelakuan gua tandanyaaaaa serius",2,4,-2,"Negative",0.333333333333333,0.666666666666667
"ya sapa tau ngajakin taaruf kak",1,1,0,"Positive",0.5,0.5
